web-scraper-order;web-scraper-start-url;links;links-href;prijs;slaapkamers;bewoonbare_ruimte;grond;bouwjaar;conditie;badkamers;energieklasse;postcode;image1;image2
1653074833-148;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=21&orderBy=relevance;Gebouw voor gemengd gebruik;https://www.immoweb.be/nl/zoekertje/gebouw-gemengd-gebruik/te-koop/affligem/1790/9650112?searchId=6287eb4d36d52;€ 449.000;3 slaapkamers;188;1089;1976;Goed;1 badkamer;E;1790;https://static.immoweb.be/photos/0/9/6/5/0/1/1/2/9650112_1.jpg?cache=20211204034008;https://static.immoweb.be/photos/0/9/6/5/0/1/1/2/M_9650112_2.jpg?cache=20211204034008
1653074483-5;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=25&orderBy=relevance;Gebouw voor gemengd gebruik;https://www.immoweb.be/nl/zoekertje/gebouw-gemengd-gebruik/te-koop/wichelen/9260/9918441?searchId=6287ea24e336a;€ 369.000;4 slaapkamers;235;403;1958;Uitstekende staat;1 badkamer;C;9260;https://static.immoweb.be/photos/0/9/9/1/8/4/4/1/9918441_1.jpg?cache=20220518034413;https://static.immoweb.be/photos/0/9/9/1/8/4/4/1/M_9918441_2.jpg?cache=20220518034413
1653074892-172;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=20&orderBy=relevance;Appartementsblok;https://www.immoweb.be/nl/zoekertje/appartementsblok/te-koop/aalst/9300/8992291?searchId=6287eb966279d;€ 400.000;4 slaapkamers;70;200;1964;Op te frissen;2 badkamers;F;9300;https://static.immoweb.be/photos/0/8/9/9/2/2/9/1/8992291_1.jpg?cache=20201016043512;https://static.immoweb.be/photos/0/8/9/9/2/2/9/1/M_8992291_2.jpg?cache=20201016043512
1653074653-73;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=23&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/bruxelles/1000/9886544?searchId=6287eabb03d5c;€ 850.000;5 slaapkamers;240;102;1930;Goed;4 badkamers;C;1000;https://static.immoweb.be/photos/0/9/8/8/6/5/4/4/9886544_1.jpg?cache=20220501151522;https://static.immoweb.be/photos/0/9/8/8/6/5/4/4/M_9886544_2.jpg?cache=20220501151522
1653074906-178;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=20&orderBy=relevance;Appartementsblok;https://www.immoweb.be/nl/zoekertje/appartementsblok/te-koop/liege/4000/9847820?searchId=6287eb966279d;€ 399.000;7 slaapkamers;315;116;1900;Op te frissen;5 badkamers;G;4000;https://static.immoweb.be/photos/0/9/8/4/7/8/2/0/9847820_1.jpg?cache=20220409200957;https://static.immoweb.be/photos/0/9/8/4/7/8/2/0/M_9847820_2.jpg?cache=20220409201409
1653074594-50;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=24&orderBy=relevance;Bel-etage;https://www.immoweb.be/nl/zoekertje/bel-etage/te-koop/leuven/3001/9923702?searchId=6287ea7090a5c;€ 495.000;3 slaapkamers;212;;1986;Goed;1 badkamer;B;3001;https://media-resize.immowebstatic.be/classifieds/6e05bd60-306f-4372-b11a-ec76d6177383/736x736/a1e35631c3a4ffebfddc751de5cab35e.jpg?cache=20220520090242;https://media-resize.immowebstatic.be/classifieds/6e05bd60-306f-4372-b11a-ec76d6177383/300x300/4dc6e78547e7c28d707bbd3ab1178615.jpg?cache=20220520090242
1653074616-59;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=24&orderBy=relevance;Herenhuis;https://www.immoweb.be/nl/zoekertje/herenhuis/te-koop/antwerpen/2000/9806122?searchId=6287ea7090a5c;€ 1.495.000;4 slaapkamers;290;123;1910;Net gerenoveerd;2 badkamers;B;2000;https://static.immoweb.be/photos/0/9/8/0/6/1/2/2/9806122_1.jpg?cache=20220315115257;https://static.immoweb.be/photos/0/9/8/0/6/1/2/2/M_9806122_2.jpg?cache=20220315115258
1653074746-112;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=22&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/laeken/1020/9404713?searchId=6287eb046601d;€ 539.000;6 slaapkamers;390;386;1935;Te renoveren;2 badkamers;F;1020;https://static.immoweb.be/photos/0/9/4/0/4/7/1/3/9404713_1.jpg?cache=20210626205950;https://static.immoweb.be/photos/0/9/4/0/4/7/1/3/M_9404713_2.jpg?cache=20210626205950
1653074824-144;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=21&orderBy=relevance;Bungalow;https://www.immoweb.be/nl/zoekertje/bungalow/te-koop/beyne-heusay/4610/9829630?searchId=6287eb4d36d52;€ 449.000;5 slaapkamers;198;1070;1995;Goed;1 badkamer;E;4610;https://static.immoweb.be/photos/0/9/8/2/9/6/3/0/9829630_1.jpg?cache=20220329054850;https://static.immoweb.be/photos/0/9/8/2/9/6/3/0/M_9829630_2.jpg?cache=20220329054850
1653074908-179;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=20&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/tienen/3300/9588210?searchId=6287eb966279d;€ 399.000;2 slaapkamers;230;1140;1965;Op te frissen;2 badkamers;F;3300;https://static.immoweb.be/photos/0/9/5/8/8/2/1/0/9588210_1.jpg?cache=20220320124037;https://static.immoweb.be/photos/0/9/5/8/8/2/1/0/M_9588210_2.jpg?cache=20220320124037
1653074578-43;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=24&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/etterbeek/1040/9909968?searchId=6287ea7090a5c;€ 695.000;4 slaapkamers;220;65;1940;Goed;3 badkamers;G;1040;https://static.immoweb.be/photos/0/9/9/0/9/9/6/8/9909968_1.jpg?cache=20220513035849;https://static.immoweb.be/photos/0/9/9/0/9/9/6/8/M_9909968_2.jpg?cache=20220513035849
1653074873-164;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=20&orderBy=relevance;Bel-etage;https://www.immoweb.be/nl/zoekertje/bel-etage/te-koop/kortrijk/8500/9887118?searchId=6287eb966279d;€ 414.000;3 slaapkamers;295;170;1954;Uitstekende staat;2 badkamers;C;8500;https://media-resize.immowebstatic.be/classifieds/8ca04680-0aca-431e-bba4-cd1b7b833dfe/736x736/6fc94fb3d5d828111ad40e49d817d4cf.jpg?cache=20220502083220;https://media-resize.immowebstatic.be/classifieds/8ca04680-0aca-431e-bba4-cd1b7b833dfe/300x300/6cf4228e6ace03bdce81c77f32d3159e.jpg?cache=20220502083220
1653074530-24;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=25&orderBy=relevance;Gebouw voor gemengd gebruik;https://www.immoweb.be/nl/zoekertje/gebouw-gemengd-gebruik/te-koop/herzele/9550/9903591?searchId=6287ea24e336a;€ 250.000;5 slaapkamers;245;231;1954;Te renoveren;2 badkamers;D;9550;https://static.immoweb.be/photos/0/9/9/0/3/5/9/1/9903591_1.jpg?cache=20220510132919;https://static.immoweb.be/photos/0/9/9/0/3/5/9/1/M_9903591_2.jpg?cache=20220510132919
1653074805-136;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=21&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/laeken/1020/9888818?searchId=6287eb4d36d52;€ 465.000;4 slaapkamers;229;110;1935;Uitstekende staat;2 badkamers;E;1020;https://static.immoweb.be/photos/0/9/8/8/8/8/1/8/9888818_1.jpg?cache=20220513034915;https://static.immoweb.be/photos/0/9/8/8/8/8/1/8/M_9888818_2.jpg?cache=20220503025342
1653074487-7;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=25&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/esneux-tilff/4130/9919176?searchId=6287ea24e336a;€ 295.000;4 slaapkamers;160;571;;Op te frissen;1 badkamer;F;4130;https://static.immoweb.be/photos/0/9/9/1/9/1/7/6/9919176_1.jpg?cache=20220518104344;https://static.immoweb.be/photos/0/9/9/1/9/1/7/6/M_9919176_2.jpg?cache=20220518104344
1653074634-65;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=23&orderBy=relevance;Appartementsblok;https://www.immoweb.be/nl/zoekertje/appartementsblok/te-koop/elsene/1050/9851514?searchId=6287eabb03d5c;€ 1.100.000;7 slaapkamers;300;124;1899;Goed;6 badkamers;D;1050;https://static.immoweb.be/photos/0/9/8/5/1/5/1/4/9851514_1.jpg?cache=20220411085746;https://static.immoweb.be/photos/0/9/8/5/1/5/1/4/M_9851514_2.jpg?cache=20220411085746
1653074601-53;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=24&orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/lessen/7860/9922800?searchId=6287ea7090a5c;€ 129.500;2 slaapkamers;118;60;;Uitstekende staat;1 badkamer;E;7860;https://static.immoweb.be/photos/0/9/9/2/2/8/0/0/9922800_1.jpg?cache=20220519223849;https://static.immoweb.be/photos/0/9/9/2/2/8/0/0/M_9922800_2.jpg?cache=20220519223849
