web-scraper-order;web-scraper-start-url;links;links-href;prijs;slaapkamers;bewoonbare_ruimte;grond;bouwjaar;conditie;badkamers;energieklasse;postcode;image1;image2
1652224031-182;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=2orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/sint-pieters-woluwe/1150/9896425?searchId=627af01a90267;€ 495.000;3 slaapkamers;117;415;1930;Op te frissen;1 badkamer;G;1150;https://static.immoweb.be/photos/0/9/8/9/6/4/2/5/9896425_1.jpg?cache=20220506053414;https://static.immoweb.be/photos/0/9/8/9/6/4/2/5/M_9896425_2.jpg?cache=20220506053414
1652223720-31;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=5orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/stekene/9190/9889893?searchId=627aeee52c9b8;€ 449.000;4 slaapkamers;151;528;2019;Uitstekende staat;2 badkamers;A;9190;https://media-resize.immowebstatic.be/classifieds/fbce326a-3e76-4c57-b83c-ae358893b5b2/736x736/da23e2c41bead69e44244bfe2079339e.jpg?cache=20220504194500;https://media-resize.immowebstatic.be/classifieds/fbce326a-3e76-4c57-b83c-ae358893b5b2/300x300/fb18481271e2191163d1ff3744641aa7.jpg?cache=20220504194500
1652223763-53;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=5orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/harelbeke/8530/9900905?searchId=627aeee52c9b8;€ 164.000;2 slaapkamers;125;142;1930;Goed;1 badkamer;C;8530;https://static.immoweb.be/photos/0/9/9/0/0/9/0/5/9900905_1.jpg?cache=20220509123354;https://static.immoweb.be/photos/0/9/9/0/0/9/0/5/M_9900905_2.jpg?cache=20220509123354
1652223984-160;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=3orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/sint-gillis-waas/9170/9899419?searchId=627aefdc4acd0;€ 385.000;3 slaapkamers;176;280;2011;Uitstekende staat;1 badkamer;B;9170;https://media-resize.immowebstatic.be/classifieds/35cbfba9-cd0d-48dc-b0c6-cd56c4836cb8/736x736/c8f78b35c138a431e701b440dbea59b8.jpg?cache=20220507172831;https://media-resize.immowebstatic.be/classifieds/35cbfba9-cd0d-48dc-b0c6-cd56c4836cb8/300x300/53ded170f2b0ce8c7e525fb8bc3c1744.jpg?cache=20220507172831
1652223772-57;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=5orderBy=relevance;Herenhuis;https://www.immoweb.be/nl/zoekertje/herenhuis/te-koop/ninove/9402/9895171?searchId=627aeee52c9b8;€ 399.000;3 slaapkamers;240;575;1905;Uitstekende staat;1 badkamer;C;9402;https://media-resize.immowebstatic.be/classifieds/20d8ca3c-b832-4ec3-90a0-792570fc60b8/736x736/ec4be370c2cf36b5b52a834ffc813ae1.jpg?cache=20220510091909;https://media-resize.immowebstatic.be/classifieds/20d8ca3c-b832-4ec3-90a0-792570fc60b8/300x300/776b1be0d9828e42bf0f5d4a0096eddf.jpg?cache=20220510091909
1652223920-129;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=4orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/gent/9000/9898759?searchId=627aef9e13b60;€ 596.000;4 slaapkamers;217;155;1894;Uitstekende staat;1 badkamer;B;9000;https://static.immoweb.be/photos/0/9/8/9/8/7/5/9/9898759_1.jpg?cache=20220507035920;https://static.immoweb.be/photos/0/9/8/9/8/7/5/9/M_9898759_2.jpg?cache=20220507035920
1652223796-68;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=5orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/aalst/9300/9824850?searchId=627aef236db38;€ 310.000;2 slaapkamers;177;70;1958;Uitstekende staat;1 badkamer;D;9300;https://media-resize.immowebstatic.be/classifieds/030c09a2-71b3-41c1-8881-4d3cbb5581eb/736x736/8de7f7da7e36a1f5891112f0e160dbf9.jpg?cache=20220508204516;https://media-resize.immowebstatic.be/classifieds/030c09a2-71b3-41c1-8881-4d3cbb5581eb/300x300/0a9971fd150df92cb5bfaf158d981003.jpg?cache=20220508204516
1652223708-26;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=5orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/geraardsbergen/9500/9622406?searchId=627aeea6e2a1f;€ 405.888;3 slaapkamers;157;599;;Uitstekende staat;;Niet gespecificeerd;9500;https://static.immoweb.be/photos/0/9/6/2/2/4/0/6/9622406_1.jpg?cache=20211118022948;https://static.immoweb.be/photos/0/9/6/2/2/4/0/6/M_9622406_2.jpg?cache=20211118022948
1652224131-230;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=1orderBy=relevance;Villa;https://www.immoweb.be/nl/zoekertje/villa/te-koop/lasne/1380/9900366?searchId=627af05a3bed1;€ 575.000;5 slaapkamers;187;610;1938;Goed;1 badkamer;E;1380;https://static.immoweb.be/photos/0/9/9/0/0/3/6/6/9900366_1.jpg?cache=20220509041344;https://static.immoweb.be/photos/0/9/9/0/0/3/6/6/M_9900366_2.jpg?cache=20220509041344
1652223703-24;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=5orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/knokke/8300/9873273?searchId=627aeea6e2a1f;€ 1.695.000;8 slaapkamers;270;350;;Net gerenoveerd;6 badkamers;B;;https://static.immoweb.be/photos/0/9/8/7/3/2/7/3/9873273_1.jpg?cache=20220424025400;https://static.immoweb.be/photos/0/9/8/7/3/2/7/3/M_9873273_2.jpg?cache=20220424025400
1652223830-85;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=5orderBy=relevance;Huis;https://www.immoweb.be/nl/zoekertje/huis/te-koop/wommelgem/2160/9901468?searchId=627aef236db38;€ 395.000;4 slaapkamers;176;200;1976;Goed;1 badkamer;D;2160;https://media-resize.immowebstatic.be/classifieds/b1bcbe98-07dc-43cb-8b71-556bdb0991c7/736x736/59093f3bd655d4bbf96a8ef050b7c0da.jpg?cache=20220509165016;https://media-resize.immowebstatic.be/classifieds/b1bcbe98-07dc-43cb-8b71-556bdb0991c7/300x300/86c236885b6e890a7c2909adb7867ffd.jpg?cache=20220509165016
1652223751-47;https://www.immoweb.be/nl/zoeken/huis/te-koop?countries=BE&page=5orderBy=relevance;Gebouw voor gemengd gebruik;https://www.immoweb.be/nl/zoekertje/gebouw-gemengd-gebruik/te-koop/anderlecht/1070/9892007?searchId=627aeee52c9b8;€ 320.000;1 slaapkamer;120;65;1950;Goed;1 badkamer;G;1070;https://static.immoweb.be/photos/0/9/8/9/2/0/0/7/9892007_1.jpg?cache=20220504093344;https://static.immoweb.be/photos/0/9/8/9/2/0/0/7/M_9892007_2.jpg?cache=20220504093344
